id,name,shape/point/0/xCoord,shape/point/0/yCoord,shape/point/1/xCoord,shape/point/1/yCoord,shape/point/2/xCoord,shape/point/2/yCoord,shape/point/3/xCoord,shape/point/3/yCoord,shape/point/4/xCoord,shape/point/4/yCoord,shape/point/5/xCoord,shape/point/5/yCoord,shape/point/6/xCoord,shape/point/6/yCoord,shape/_closed,centroid/xCoord,centroid/yCoord,neighbor/0,neighbor/1,neighbor/2,neighbor/3,neighbor/4,neighbor/5,property/0/_name,property/0/_type,property/0/__text,property/1/_name,property/1/_type,property/1/__text,shape/point/7/xCoord,shape/point/7/yCoord,neighbor/6,shape/point/8/xCoord,shape/point/8/yCoord,neighbor/7,shape/point/9/xCoord,shape/point/9/yCoord,neighbor/8
27,Downing Street,-0.12562872,51.502274,-0.12844071,51.501415,-0.13008854,51.50246,-0.1288407,51.505524,-0.12804,51.505642,-0.12498988,51.503284,-0.12562872,51.502274,true,-0.12750095,51.50332,1,2,3,30,31,42,N points,numeric,91.0,Colour,string,234;215;255,,,,,,,,,
28,Sutton-at-Hone and Hawley,0.22166209,51.41089,0.23022065,51.415207,0.23424983,51.427353,0.22516553,51.421818,0.22149286,51.411022,0.22166209,51.41089,,,true,0.23022419,51.422688,57,190,507,554,556,,N points,numeric,6.0,Colour,string,99;255;47,,,,,,,,,
29,Fitzrovia,-0.13760921,51.516586,-0.13749374,51.516304,-0.13325234,51.51455,-0.13051686,51.519302,-0.13082778,51.52127,-0.1317688,51.52238,-0.13395084,51.522144,true,-0.13406748,51.5177,15,16,18,20,47,50,N points,numeric,163.0,Colour,string,213;201;255,-0.13760921,51.516586,61,,,,,,
30,Whitehall,-0.12498988,51.503284,-0.12284501,51.504097,-0.12383072,51.507286,-0.12629856,51.50756,-0.12804,51.505642,-0.12498988,51.503284,,,true,-0.12565273,51.505707,1,2,9,27,32,,N points,numeric,92.0,Colour,string,229;214;255,,,,,,,,,
31,The Mall,-0.1288407,51.505524,-0.13008854,51.50246,-0.1326825,51.50166,-0.13423623,51.505505,-0.13048266,51.507164,-0.1288407,51.505524,,,true,-0.1313412,51.50488,1,22,27,35,42,,N points,numeric,75.0,Colour,string,232;212;255,,,,,,,,,
32,Chelsea Embankment,-0.12383072,51.507286,-0.12284501,51.504097,-0.12235283,51.503895,-0.119325526,51.505566,-0.118760884,51.509274,-0.11983813,51.510265,-0.12250384,51.509583,true,-0.12143597,51.50701,2,4,7,9,11,30,N points,numeric,124.0,Colour,string,226;215;255,-0.12383072,51.507286,46,,,,,,
33,Borough Market,-0.08947395,51.50822,-0.08635711,51.50515,-0.08945184,51.49491,-0.09011532,51.49539,-0.0935506,51.504425,-0.08947395,51.50822,,,true,-0.08973123,51.505035,19,36,82,98,107,,N points,numeric,157.0,Colour,string,223;236;255,,,,,,,,,
34,Shoreditch,-0.07749,51.521233,-0.075818114,51.5227,-0.07387446,51.52784,-0.08079862,51.53027,-0.08266147,51.521786,-0.07749,51.521233,,,true,-0.079135805,51.525043,24,26,37,70,105,,N points,numeric,263.0,Colour,string,200;229;255,,,,,,,,,
35,St. Jame's Park,-0.13928567,51.5051,-0.13762067,51.498478,-0.1340237,51.499165,-0.1326825,51.50166,-0.13423623,51.505505,-0.13657758,51.50697,-0.13928567,51.5051,true,-0.13588478,51.503044,8,22,31,42,67,96,N points,numeric,114.0,Colour,string,236;212;255,,,,,,,,,
36,Grant's Quay Wharf,-0.08947395,51.50822,-0.08635711,51.50515,-0.0825411,51.507065,-0.081749424,51.508816,-0.08565784,51.512356,-0.08956932,51.510044,-0.08947395,51.50822,true,-0.086293,51.508526,19,21,25,33,44,98,N points,numeric,125.0,Colour,string,219;236;255,,,,,,,,,
37,Spitalfields,-0.07749,51.521233,-0.075818114,51.5227,-0.069386765,51.518326,-0.07079764,51.513058,-0.076027654,51.514244,-0.07749,51.521233,,,true,-0.07392497,51.519108,14,26,34,70,99,,N points,numeric,164.0,Colour,string,206;237;255,,,,,,,,,
38,Lambeth Bridge,-0.12963131,51.495056,-0.12924507,51.491604,-0.11873753,51.490784,-0.12194969,51.49792,-0.124708146,51.498528,-0.12767895,51.49747,-0.12963131,51.495056,true,-0.12501152,51.49591,2,3,42,96,106,139,N points,numeric,54.0,Colour,string,245;221;255,,,,,,,,,
39,Hyde Park west,-0.18210733,51.500885,-0.18397091,51.50527,-0.18049073,51.51183,-0.16985263,51.50976,-0.1688683,51.50557,-0.17006476,51.502335,-0.17623834,51.49986,true,-0.17603804,51.504284,13,49,75,85,88,95,N points,numeric,201.0,Colour,string,241;191;255,-0.18210733,51.500885,122,,,,,,
40,West End of London,-0.15066743,51.518436,-0.15140983,51.510418,-0.15599082,51.508034,-0.16450246,51.516296,-0.16448796,51.516376,-0.15101977,51.518932,-0.15066743,51.518436,true,-0.1557427,51.513927,49,54,73,77,79,122,N points,numeric,204.0,Colour,string,224;195;255,,,,,,,,,
41,Saint Pancras,-0.13524167,51.533974,-0.13499145,51.53428,-0.12808298,51.532555,-0.12643345,51.527386,-0.13093732,51.525043,-0.13524167,51.533974,,,true,-0.12949525,51.529125,17,47,50,63,123,,N points,numeric,61.0,Colour,string,193;191;255,,,,,,,,,
42,Westminster Abbey,-0.12963131,51.495056,-0.12767895,51.49747,-0.12844071,51.501415,-0.13008854,51.50246,-0.1326825,51.50166,-0.1340237,51.499165,-0.12963131,51.495056,true,-0.12975965,51.499752,3,27,31,35,38,96,N points,numeric,107.0,Colour,string,240;216;255,,,,,,,,,
43,Waterloo,-0.10911842,51.503925,-0.10531124,51.496807,-0.10945196,51.490536,-0.11281758,51.49071,-0.11575814,51.50155,-0.115350746,51.502743,-0.11388798,51.50396,true,-0.11211722,51.500587,4,7,23,71,107,111,N points,numeric,165.0,Colour,string,233;224;255,-0.10911842,51.503925,139,,,,,,
44,St Andrew Undershaft,-0.07696808,51.513855,-0.08055141,51.50925,-0.081749424,51.508816,-0.08565784,51.512356,-0.08553867,51.51552,-0.08403988,51.51701,-0.07696808,51.513855,true,-0.08190827,51.513367,14,21,25,36,69,70,N points,numeric,141.0,Colour,string,213;236;255,,,,,,,,,
45,Brackley Street,-0.08872733,51.523876,-0.09043958,51.530266,-0.095607355,51.533104,-0.09997934,51.530506,-0.09805333,51.522533,-0.0922202,51.51944,-0.08872733,51.523876,true,-0.09356206,51.523792,24,48,53,69,94,104,N points,numeric,118.0,Colour,string,201;220;255,,,,,,,,,
46,The Strand,-0.114863254,51.51675,-0.11966766,51.514866,-0.11983813,51.510265,-0.118760884,51.509274,-0.114957206,51.50917,-0.11243525,51.511612,-0.114863254,51.51675,true,-0.116725326,51.512123,7,11,23,32,59,62,N points,numeric,163.0,Colour,string,215;211;255,,,,,,,,,
47,Euston,-0.14044812,51.525257,-0.14285667,51.53019,-0.13524167,51.533974,-0.13093732,51.525043,-0.1317688,51.52238,-0.13395084,51.522144,-0.14044812,51.525257,true,-0.1350272,51.52646,29,41,50,61,63,73,N points,numeric,167.0,Colour,string,199;192;255,,,,,,,,,
48,Barbican,-0.09343433,51.515087,-0.091985025,51.517445,-0.0922202,51.51944,-0.09805333,51.522533,-0.10056313,51.51819,-0.09791676,51.51584,-0.09343433,51.515087,true,-0.096575595,51.51811,10,25,45,53,64,69,N points,numeric,106.0,Colour,string,208;221;255,,,,,,,,,
49,Hyde Park east,-0.15705039,51.503857,-0.15599082,51.508034,-0.16450246,51.516296,-0.16985263,51.50976,-0.1688683,51.50557,-0.15971293,51.502728,-0.15705039,51.503857,true,-0.1618769,51.50761,39,40,54,74,88,122,N points,numeric,145.0,Colour,string,234;196;255,,,,,,,,,
50,Bloomsbury,-0.120498486,51.525185,-0.12301288,51.52147,-0.13082778,51.52127,-0.1317688,51.52238,-0.13093732,51.525043,-0.12643345,51.527386,-0.12084615,51.52586,true,-0.12677036,51.52388,15,17,29,41,47,60,N points,numeric,153.0,Colour,string,200;197;255,-0.120498486,51.525185,62,,,,,,
51,Ightham Court,0.25687245,51.2595,0.2707223,51.308994,0.30151546,51.299957,0.3084567,51.25629,0.28279093,51.244545,0.25687245,51.2595,,,true,0.28695273,51.288666,463,475,560,619,620,,N points,numeric,4.0,Colour,string,123;185;0,,,,,,,,,
52,Brent,-0.3180854,51.563015,-0.3047694,51.539005,-0.2887389,51.545494,-0.29128355,51.56861,-0.31407383,51.567036,-0.3180854,51.563015,,,true,-0.29955316,51.55393,170,366,385,389,426,,N points,numeric,28.0,Colour,string,191;102;255,,,,,,,,,
53,Farringdon,-0.10491087,51.516716,-0.10739084,51.519634,-0.10291321,51.530476,-0.09997934,51.530506,-0.09805333,51.522533,-0.10056313,51.51819,-0.104791895,51.51669,true,-0.10262409,51.521603,10,45,48,59,66,94,N points,numeric,156.0,Colour,string,203;214;255,-0.10491087,51.516716,100,,,,,,
54,Hyde Park Corner,-0.14521919,51.50616,-0.14562753,51.507244,-0.15140983,51.510418,-0.15599082,51.508034,-0.15705039,51.503857,-0.15076205,51.49791,-0.14712328,51.500336,true,-0.15101856,51.504856,8,40,49,65,67,74,N points,numeric,175.0,Colour,string,236;203;255,-0.14521919,51.50616,77,,,,,,
55,Blackwall,0.016996685,51.499794,0.014871805,51.50832,-0.0061382363,51.515682,-0.008125969,51.499046,-0.004862784,51.493637,0.0014672732,51.491505,0.016996685,51.499794,true,0.0034826472,51.503048,83,87,90,121,165,182,N points,numeric,223.0,Colour,string,186;255;215,,,,,,,,,
56,Kew Royal Botanic Gardens,-0.31134388,51.47488,-0.30190897,51.485928,-0.2811193,51.46883,-0.28266338,51.461533,-0.28325593,51.461525,-0.3111675,51.47225,-0.31134388,51.47488,true,-0.29721525,51.476215,120,162,172,193,300,345,N points,numeric,203.0,Colour,string,255;124;224,,,,,,,,,
57,Sutton at Hone,0.22166209,51.41089,0.22767274,51.3979,0.24746944,51.41091,0.24495393,51.417397,0.23022065,51.415207,0.22166209,51.41089,,,true,0.23623914,51.41077,28,507,510,552,554,,N points,numeric,11.0,Colour,string,104;255;38,,,,,,,,,
