id,name,shape/point/0/xCoord,shape/point/0/yCoord,shape/point/1/xCoord,shape/point/1/yCoord,shape/point/2/xCoord,shape/point/2/yCoord,shape/point/3/xCoord,shape/point/3/yCoord,shape/point/4/xCoord,shape/point/4/yCoord,shape/point/5/xCoord,shape/point/5/yCoord,shape/point/6/xCoord,shape/point/6/yCoord,shape/_closed,centroid/xCoord,centroid/yCoord,neighbor/0,neighbor/1,neighbor/2,neighbor/3,neighbor/4,neighbor/5,property/0/_name,property/0/_type,property/0/__text,property/1/_name,property/1/_type,property/1/__text,shape/point/7/xCoord,shape/point/7/yCoord,neighbor/6,shape/point/8/xCoord,shape/point/8/yCoord,neighbor/7,shape/point/9/xCoord,shape/point/9/yCoord,neighbor/8
171,Clapham North,-0.12463392,51.456905,-0.121585414,51.471413,-0.123788,51.474426,-0.13402902,51.478115,-0.14209017,51.472458,-0.14139128,51.455612,-0.12463392,51.456905,true,-0.1331046,51.46622,81,106,111,130,146,194,N points,numeric,161.0,Colour,string,255;207;212,,,,,,,,,
172,Brentford,-0.3284501,51.490314,-0.31214982,51.50249,-0.29836112,51.498524,-0.30190897,51.485928,-0.31134388,51.47488,-0.3284501,51.490314,,,true,-0.3122348,51.489044,56,120,152,209,345,,N points,numeric,80.0,Colour,string,255;117;239,,,,,,,,,
173,Edmonton,-0.061498813,51.632847,-0.039774362,51.639355,-0.028782468,51.63354,-0.028732065,51.632652,-0.04130881,51.608883,-0.050298244,51.60635,-0.061498813,51.632847,true,-0.048914343,51.628185,229,263,285,322,337,372,N points,numeric,75.0,Colour,string,80;171;255,,,,,,,,,
174,Seven Sisters,-0.054529194,51.577877,-0.08238796,51.57067,-0.088329755,51.577225,-0.087900415,51.592426,-0.056619737,51.590736,-0.054529194,51.577877,,,true,-0.07382791,51.58258,156,166,169,242,322,,N points,numeric,115.0,Colour,string,134;190;255,,,,,,,,,
175,Clapham Junction,-0.15958664,51.45074,-0.16033141,51.473816,-0.1621795,51.47483,-0.1788085,51.47397,-0.18448432,51.46433,-0.18198438,51.45959,-0.1595901,51.450737,true,-0.1695777,51.464886,76,124,140,146,186,275,N points,numeric,126.0,Colour,string,255;190;213,-0.15958664,51.45074,572,,,,,,
176,Greenwich,-0.027394079,51.46631,-0.029350711,51.48375,-0.012098963,51.483665,-0.006764891,51.467487,-0.027394079,51.46631,,,,,true,-0.017148327,51.47673,90,121,235,327,,,N points,numeric,106.0,Colour,string,209;255;199,,,,,,,,,
177,Surbiton,-0.31314704,51.379265,-0.30453727,51.378056,-0.29346815,51.39066,-0.30748114,51.403015,-0.3191394,51.403923,-0.32106054,51.39959,-0.31314704,51.379265,true,-0.30645227,51.3928,108,109,149,201,226,396,N points,numeric,49.0,Colour,string,255;78;110,,,,,,,,,
178,East Acton,-0.24167629,51.497322,-0.25298348,51.508495,-0.24401788,51.52734,-0.22716497,51.519165,-0.23224013,51.501568,-0.24167629,51.497322,,,true,-0.23756464,51.510883,126,134,181,247,573,,N points,numeric,92.0,Colour,string,239;155;255,,,,,,,,,
179,Old Kent Road,-0.0783414,51.49745,-0.08918934,51.494545,-0.090253204,51.48521,-0.081364036,51.476753,-0.06422662,51.48416,-0.065266035,51.4921,-0.077778056,51.49741,true,-0.0800395,51.48985,21,78,98,107,161,163,N points,numeric,83.0,Colour,string,236;255;244,-0.0783414,51.49745,249,,,,,,
180,Lullingstone Park 01959 533793,0.17086251,51.37084,0.1376329,51.380127,0.13290706,51.375736,0.12998481,51.36759,0.1414658,51.34627,0.16358367,51.340584,0.17303638,51.362457,true,0.15202792,51.3542,390,398,470,524,539,553,N points,numeric,8.0,Colour,string,186;255;37,0.17086251,51.37084,568,,,,,,
181,Chiswick,-0.2501273,51.477913,-0.2422193,51.488594,-0.24167629,51.497322,-0.25298348,51.508495,-0.26153636,51.506817,-0.2717264,51.485317,-0.2501273,51.477913,true,-0.25518963,51.493046,126,178,210,239,247,300,N points,numeric,104.0,Colour,string,255;149;248,,,,,,,,,
182,Westcombe Park Railway Station,0.018812858,51.47524,0.0059453393,51.478767,0.0014672732,51.491505,0.016996685,51.499794,0.02446282,51.494686,0.018812858,51.47524,,,true,0.012180046,51.486755,55,87,121,148,305,,N points,numeric,86.0,Colour,string,184;255;191,,,,,,,,,
183,Becontree Heath,0.15347642,51.567547,0.16129181,51.562485,0.16283599,51.55792,0.14940697,51.537235,0.13406295,51.546787,0.1323731,51.55738,0.15347642,51.567547,true,0.14633645,51.549847,151,167,243,278,303,440,N points,numeric,98.0,Colour,string,91;255;187,,,,,,,,,
184,Beddington Corner,-0.16557463,51.40088,-0.17132749,51.39402,-0.16429548,51.373886,-0.1515656,51.370808,-0.13715349,51.382305,-0.13930927,51.389584,-0.16557463,51.40088,true,-0.15990615,51.383614,237,256,290,349,358,376,N points,numeric,48.0,Colour,string,255;160;116,,,,,,,,,
185,New Addington,-0.015712023,51.36304,-0.030804677,51.356373,-0.02833833,51.32262,-0.024578614,51.32152,-0.001578041,51.355186,-0.015712023,51.36304,,,true,-0.017377103,51.349358,329,354,361,362,525,,N points,numeric,58.0,Colour,string,255;230;78,,,,,,,,,
186,Earlsfield,-0.1595901,51.450737,-0.18198438,51.45959,-0.18872243,51.437355,-0.16992132,51.435814,-0.1595901,51.450737,,,,,true,-0.17654987,51.447247,175,275,572,574,,,N points,numeric,62.0,Colour,string,255;174;186,,,,,,,,,
187,Crystal Palace,-0.0639369,51.435925,-0.0652975,51.43714,-0.07885509,51.432587,-0.08358009,51.415768,-0.07600353,51.405067,-0.071033806,51.40429,-0.058461502,51.41151,true,-0.069432735,51.418427,195,205,221,261,318,578,N points,numeric,86.0,Colour,string,255;232;161,-0.0639369,51.435925,579,,,,,,
188,Wimbledon,-0.21930386,51.413284,-0.22076559,51.41676,-0.20031682,51.436653,-0.19376643,51.434517,-0.18976106,51.416622,-0.19986442,51.404087,-0.21930386,51.413284,true,-0.20394318,51.419884,127,296,341,349,572,574,N points,numeric,97.0,Colour,string,255;140;144,,,,,,,,,
189,Sport track:QE Athletics Stadium,-0.074866615,51.639397,-0.07628606,51.67349,-0.055781446,51.6654,-0.051980626,51.657562,-0.07270572,51.63934,-0.074866615,51.639397,,,true,-0.065970115,51.657787,204,229,277,372,491,,N points,numeric,71.0,Colour,string,47;141;255,,,,,,,,,
190,Hawley,0.2198675,51.437016,0.22453992,51.43462,0.22516553,51.421818,0.22149286,51.411022,0.20844792,51.41574,0.21445683,51.434437,0.2198675,51.437016,true,0.22168747,51.42559,28,231,399,406,507,556,N points,numeric,6.0,Colour,string,102;255;52,,,,,,,,,
191,Lakeside Shopping Centre,0.29327792,51.494995,0.29498607,51.47031,0.2815975,51.468452,0.26609004,51.491913,0.26817137,51.496094,0.29327792,51.494995,,,true,0.2834808,51.484966,196,245,292,408,441,,N points,numeric,70.0,Colour,string,31;255;55,,,,,,,,,
192,exp holiday inn dartfordbridge,0.23714437,51.439068,0.23121646,51.44985,0.24344955,51.458282,0.24978043,51.44924,0.2470749,51.4431,0.23714437,51.439068,,,true,0.23821007,51.446606,363,365,406,419,479,,N points,numeric,16.0,Colour,string,75;255;51,,,,,,,,,
193,Richmond Gate Hotel,-0.28238082,51.46111,-0.29173496,51.4276,-0.30625233,51.431026,-0.30989718,51.448555,-0.28325593,51.461525,-0.28266338,51.461533,-0.28238082,51.46111,true,-0.29694378,51.446583,56,108,162,200,238,300,N points,numeric,77.0,Colour,string,255;116;186,,,,,,,,,
194,Balham,-0.12250238,51.435062,-0.14034817,51.432312,-0.14852577,51.448532,-0.14139128,51.455612,-0.12463392,51.456905,-0.11867995,51.44988,-0.12250238,51.435062,true,-0.1315749,51.4464,130,146,171,208,258,275,N points,numeric,96.0,Colour,string,255;201;189,,,,,,,,,
195,South Norwood,-0.08802395,51.38935,-0.07086687,51.37121,-0.06043988,51.383873,-0.071033806,51.40429,-0.07600353,51.405067,-0.08802395,51.38935,,,true,-0.07383362,51.390343,187,205,217,261,457,,N points,numeric,79.0,Colour,string,255;217;130,,,,,,,,,
196,Greenhithe,0.3005173,51.46758,0.29498607,51.47031,0.2815975,51.468452,0.2799398,51.466618,0.28532192,51.43978,0.28696573,51.43792,0.29994276,51.457943,true,0.28790873,51.453075,92,191,216,292,393,423,N points,numeric,20.0,Colour,string,38;255;25,0.3005173,51.46758,441,,,,,,
197,Sutton,-0.2077394,51.367184,-0.2069145,51.370525,-0.1883512,51.38042,-0.17854366,51.365673,-0.18031785,51.349987,-0.18603593,51.346676,-0.2077394,51.367184,true,-0.19245563,51.36635,237,256,287,311,332,410,N points,numeric,73.0,Colour,string,255;131;90,,,,,,,,,
198,Cranham,0.27521724,51.58547,0.2521828,51.574394,0.25715777,51.548878,0.25981766,51.546688,0.29515615,51.547985,0.29528713,51.548073,0.28606632,51.582787,true,0.2711397,51.564945,403,404,466,515,567,596,N points,numeric,41.0,Colour,string,19;255;140,0.27521724,51.58547,598,,,,,,
199,Chertsey,-0.55793107,51.39584,-0.5271913,51.39666,-0.49825516,51.386703,-0.50136024,51.377563,-0.54391325,51.363277,-0.55793107,51.39584,,,true,-0.50957,51.385715,102,313,442,455,630,,N points,numeric,9.0,Colour,string,232;0;101,,,,,,,,,
200,Richmond Park,-0.28238082,51.46111,-0.26197463,51.45085,-0.27049497,51.424267,-0.2893897,51.42532,-0.29173496,51.4276,-0.28238082,51.46111,,,true,-0.27744734,51.44114,108,193,248,300,575,,N points,numeric,80.0,Colour,string,255;123;179,,,,,,,,,
201,Chessington,-0.31314704,51.379265,-0.30453727,51.378056,-0.29569083,51.364597,-0.29608753,51.354,-0.3294183,51.354755,-0.32982755,51.36546,-0.31314704,51.379265,true,-0.31043422,51.36441,177,226,396,402,436,480,N points,numeric,36.0,Colour,string,255;53;66,,,,,,,,,
202,Woolwich Dockyard Railway Station,0.037421137,51.502068,0.055267904,51.50189,0.058859035,51.49666,0.056091808,51.483036,0.044964638,51.479416,0.032260854,51.495586,0.037421137,51.502068,true,0.04643184,51.49386,87,125,144,159,305,464,N points,numeric,60.0,Colour,string,165;255;183,,,,,,,,,
203,Watford District,-0.39395452,51.660866,-0.41065854,51.666317,-0.41204885,51.66955,-0.41044033,51.67372,-0.4003925,51.67899,-0.3870666,51.663967,-0.39395452,51.660866,true,-0.399489,51.669003,133,214,282,443,447,549,N points,numeric,39.0,Colour,string,65;0;227,,,,,,,,,
204,The Ridgeway,-0.074866615,51.639397,-0.07628606,51.67349,-0.079161406,51.67723,-0.094770856,51.669205,-0.09537802,51.642857,-0.09490828,51.642014,-0.080635995,51.63649,true,-0.08526115,51.656986,189,323,339,340,372,491,N points,numeric,77.0,Colour,string,49;130;255,-0.074866615,51.639397,512,,,,,,
205,Anerley,-0.046357974,51.408207,-0.050194222,51.386375,-0.06043988,51.383873,-0.071033806,51.40429,-0.058461502,51.41151,-0.046357974,51.408207,,,true,-0.05801756,51.39855,187,195,234,318,457,,N points,numeric,48.0,Colour,string,255;230;138,,,,,,,,,
206,Thorpe Coombe Hospital,-0.024794914,51.587734,-0.0027495106,51.585663,-3.9104946E-4,51.589188,-0.011081041,51.60716,-0.029043732,51.60072,-0.024794914,51.587734,,,true,-0.014797645,51.59595,223,263,322,325,336,,N points,numeric,63.0,Colour,string,111;212;255,,,,,,,,,
207,Stanwell,-0.4608728,51.45335,-0.46389085,51.480362,-0.47692436,51.477314,-0.48407796,51.45315,-0.4608728,51.45335,,,,,true,-0.47150034,51.46747,115,117,425,461,,,N points,numeric,53.0,Colour,string,255;25;202,,,,,,,,,
208,Lambeth,-0.14380766,51.42399,-0.14034817,51.432312,-0.12250238,51.435062,-0.1110544,51.42386,-0.10983321,51.413334,-0.13261874,51.4054,-0.14380766,51.42399,true,-0.12774305,51.42152,194,258,275,290,376,579,N points,numeric,93.0,Colour,string,255;196;163,,,,,,,,,
209,West Ealing,-0.3284501,51.490314,-0.31214982,51.50249,-0.32025534,51.523518,-0.3361686,51.51224,-0.33521974,51.492477,-0.3331833,51.49038,-0.3284501,51.490314,true,-0.32506895,51.50622,152,172,306,345,413,589,N points,numeric,69.0,Colour,string,252;108;255,,,,,,,,,
210,Barnes,-0.2422193,51.488594,-0.2501273,51.477913,-0.24767806,51.469414,-0.2298135,51.46351,-0.2246552,51.469593,-0.22463673,51.481804,-0.2422193,51.488594,true,-0.23417225,51.477493,126,147,181,251,300,576,N points,numeric,83.0,Colour,string,255;160;230,,,,,,,,,
211,West Ham,0.030472733,51.52335,0.021962106,51.52052,0.006741676,51.532013,0.010753125,51.543427,0.026383165,51.549046,0.030472733,51.52335,,,true,0.019422136,51.532993,87,110,165,225,295,,N points,numeric,70.0,Colour,string,161;255;235,,,,,,,,,
212,West Drayton,-0.4460867,51.50589,-0.46640658,51.50928,-0.47333777,51.506985,-0.47583583,51.504795,-0.47642964,51.502903,-0.46056294,51.48434,-0.45296276,51.48644,true,-0.4622428,51.500668,117,213,314,374,394,461,N points,numeric,44.0,Colour,string,255;32;242,-0.4460867,51.50589,520,,,,,,
213,Stockley,-0.4460867,51.50589,-0.46640658,51.50928,-0.46098456,51.527084,-0.44823167,51.520584,-0.4437891,51.50804,-0.4460867,51.50589,,,true,-0.459669,51.516075,212,297,307,374,394,,N points,numeric,18.0,Colour,string,250;31;255,,,,,,,,,
214,North Watford,-0.3870666,51.663967,-0.4003925,51.67899,-0.4000487,51.6797,-0.38919488,51.68443,-0.3759305,51.674046,-0.37705836,51.670265,-0.38607824,51.663933,true,-0.39058244,51.676903,203,282,284,286,377,447,N points,numeric,21.0,Colour,string,57;0;223,-0.3870666,51.663967,586,,,,,,
215,Southgate Und.St.,-0.13286182,51.618874,-0.11962581,51.6261,-0.13318199,51.638134,-0.14053449,51.63718,-0.14484423,51.628155,-0.13286182,51.618874,,,true,-0.13261083,51.630886,246,279,321,451,468,,N points,numeric,29.0,Colour,string,77;120;255,,,,,,,,,
216,Greenhithe Railway Station,0.28532192,51.43978,0.26499408,51.449795,0.26910955,51.46068,0.2799398,51.466618,0.28532192,51.43978,,,,,true,0.2778094,51.45105,92,196,441,479,,,N points,numeric,23.0,Colour,string,46;255;30,,,,,,,,,
217,East Croydon Railway Station,-0.098903924,51.38897,-0.09885605,51.369812,-0.081722714,51.35864,-0.07138209,51.365173,-0.07086687,51.37121,-0.08802395,51.38935,-0.098903924,51.38897,true,-0.089804,51.375237,150,168,195,261,453,457,N points,numeric,104.0,Colour,string,255;201;112,,,,,,,,,
218,Woodgrange Park Railway Station,0.06342127,51.55808,0.04690826,51.564846,0.033028852,51.556545,0.054442294,51.531013,0.06631078,51.54591,0.06342127,51.55808,,,true,0.05244925,51.54808,295,319,384,445,581,,N points,numeric,84.0,Colour,string,136;255;231,,,,,,,,,
219,Leyton,-0.027909376,51.547714,-0.0142838145,51.54345,-0.0015039503,51.553463,-0.0023672313,51.568035,-0.029091094,51.56519,-0.027909376,51.547714,,,true,-0.014131708,51.55551,110,164,223,225,343,,N points,numeric,88.0,Colour,string,154;242;255,,,,,,,,,
220,Brentwood,0.31367695,51.606117,0.2892348,51.622036,0.3122782,51.64211,0.31603178,51.60869,0.31367695,51.606117,,,,,true,0.30256766,51.620758,360,454,484,540,,,N points,numeric,40.0,Colour,string,0;227;158,,,,,,,,,
221,Forest Hill,-0.05350911,51.461205,-0.062274978,51.45301,-0.0652975,51.43714,-0.0639369,51.435925,-0.034617256,51.42984,-0.0279514,51.434174,-0.026972273,51.439796,true,-0.047160342,51.443333,187,235,249,318,327,577,N points,numeric,131.0,Colour,string,252;255;185,-0.0344104,51.45659,578,-0.05350911,51.461205,582,,,
222,New Barnet,-0.17983067,51.63998,-0.1622176,51.640438,-0.15456527,51.653164,-0.15531203,51.662853,-0.15798672,51.668743,-0.1795051,51.66979,-0.18240568,51.668118,true,-0.16868319,51.65037,324,370,451,474,522,548,N points,numeric,61.0,Colour,string,51;84;255,-0.17983067,51.63998,569,,,,,,
223,Sleeping Beauty,-0.029091094,51.56519,-0.0023672313,51.568035,-0.002338063,51.568073,-0.0027495106,51.585663,-0.024794914,51.587734,-0.033646956,51.570103,-0.029091094,51.56519,true,-0.016503857,51.5778,206,219,225,322,336,343,N points,numeric,90.0,Colour,string,131;224;255,,,,,,,,,
224,Loughton,0.066017516,51.629112,0.037825044,51.646084,0.056880686,51.666218,0.0615061,51.66287,0.0716983,51.634274,0.071695395,51.629997,0.066017516,51.629112,true,0.05683778,51.64661,302,411,416,418,508,590,N points,numeric,52.0,Colour,string,42;210;255,,,,,,,,,
225,Forest Gate,-0.0023672313,51.568035,-0.002338063,51.568073,0.022699105,51.567417,0.032133434,51.556477,0.026383165,51.549046,0.010753125,51.543427,-0.0015039503,51.553463,true,0.010793671,51.556988,110,211,219,223,295,336,N points,numeric,72.0,Colour,string,145;253;255,-0.0023672313,51.568035,445,,,,,,
226,Tolworth,-0.28476542,51.39326,-0.29346815,51.39066,-0.30453727,51.378056,-0.29569083,51.364597,-0.26921508,51.38016,-0.274661,51.389786,-0.28476542,51.39326,true,-0.28967234,51.37806,149,177,201,248,356,436,N points,numeric,77.0,Colour,string,255;72;86,,,,,,,,,
227,Staines,-0.5421754,51.46347,-0.4992241,51.454098,-0.49110293,51.44983,-0.49093884,51.44873,-0.50149053,51.426006,-0.5111699,51.421463,-0.5470191,51.426056,true,-0.5069461,51.433735,115,136,137,420,425,455,N points,numeric,22.0,Colour,string,253;0;159,-0.5421754,51.46347,636,,,,,,
228,Hornchurch,0.20286484,51.5585,0.22228889,51.57351,0.22797562,51.573353,0.22712356,51.542156,0.22093125,51.53595,0.20286484,51.5585,,,true,0.21699253,51.559093,230,272,403,429,515,,N points,numeric,57.0,Colour,string,50;255;161,,,,,,,,,
229,Ponders End,-0.061498813,51.632847,-0.039774362,51.639355,-0.048814844,51.656292,-0.051980626,51.657562,-0.07270572,51.63934,-0.061498813,51.632847,,,true,-0.053548526,51.64366,173,189,277,337,372,,N points,numeric,36.0,Colour,string,62;157;255,,,,,,,,,
230,Elm Park,0.19651432,51.56032,0.1810635,51.543312,0.19695427,51.530823,0.22081083,51.535526,0.22093125,51.53595,0.20286484,51.5585,0.19651432,51.56032,true,0.1992029,51.54484,167,228,272,382,515,528,N points,numeric,67.0,Colour,string,66;255;157,,,,,,,,,
231,Dartford,0.2198675,51.437016,0.21445683,51.434437,0.20043904,51.44306,0.20556246,51.460083,0.21420424,51.462784,0.22234677,51.45012,0.2198675,51.437016,true,0.21213956,51.445625,190,399,406,419,433,597,N points,numeric,44.0,Colour,string,92;255;65,,,,,,,,,
232,Abbey Wood,0.102208234,51.4735,0.09629076,51.493454,0.10947465,51.50333,0.12228201,51.48335,0.103751935,51.472816,0.102208234,51.4735,,,true,0.109381385,51.48809,267,270,291,347,501,,N points,numeric,49.0,Colour,string,129;255;145,,,,,,,,,
233,Northolt,-0.36632138,51.551968,-0.39086115,51.54925,-0.3958997,51.545753,-0.3835678,51.531155,-0.36817116,51.53414,-0.36401007,51.550465,-0.36632138,51.551968,true,-0.37493297,51.54224,145,269,299,320,333,359,N points,numeric,43.0,Colour,string,213;70;255,,,,,,,,,
234,Elmers End,-0.022443444,51.397274,-0.042455073,51.410038,-0.046357974,51.408207,-0.050194222,51.386375,-0.03890147,51.380127,-0.02121139,51.388737,-0.022443444,51.397274,true,-0.038689896,51.395153,205,318,329,457,577,595,N points,numeric,69.0,Colour,string,255;239;132,,,,,,,,,
235,New Cross,-0.027394079,51.46631,-0.029350711,51.48375,-0.033941805,51.490063,-0.05639916,51.47774,-0.05350911,51.461205,-0.0344104,51.45659,-0.027394079,51.46631,true,-0.03969449,51.4742,90,161,176,221,249,327,N points,numeric,146.0,Colour,string,226;255;209,,,,,,,,,
236,Strawberry Hill,-0.3585818,51.44654,-0.3335908,51.442932,-0.32849103,51.423733,-0.34920081,51.41818,-0.35379696,51.42147,-0.3616014,51.438606,-0.3585818,51.44654,true,-0.34386054,51.43551,109,116,238,342,392,588,N points,numeric,92.0,Colour,string,255;86;170,,,,,,,,,
237,Carshalton,-0.1515656,51.370808,-0.16429548,51.373886,-0.17854366,51.365673,-0.18031785,51.349987,-0.15533806,51.344246,-0.1515656,51.370808,,,true,-0.16483243,51.363224,184,197,256,311,358,,N points,numeric,71.0,Colour,string,255;149;92,,,,,,,,,
238,Twickenham,-0.32535952,51.457657,-0.3335908,51.442932,-0.32849103,51.423733,-0.3231647,51.42151,-0.30625233,51.431026,-0.30989718,51.448555,-0.32019284,51.458374,true,-0.32099092,51.44158,108,109,116,162,193,236,N points,numeric,91.0,Colour,string,255;101;179,-0.32535952,51.457657,345,,,,,,
239,Acton,-0.27801123,51.520164,-0.26153636,51.506817,-0.2717264,51.485317,-0.27307287,51.48481,-0.2936116,51.50063,-0.28813314,51.515114,-0.27801123,51.520164,true,-0.27621314,51.50301,120,152,181,247,300,385,N points,numeric,112.0,Colour,string,252;136;255,,,,,,,,,
240,Seven Kings,0.08645022,51.562336,0.0946851,51.551224,0.10476037,51.552254,0.10533647,51.552883,0.10708,51.587498,0.09467783,51.58575,0.08645022,51.562336,true,0.09688944,51.56829,241,243,317,328,384,587,N points,numeric,52.0,Colour,string,102;255;225,,,,,,,,,
241,Goodmayes,0.1282709,51.559456,0.119621426,51.59001,0.112660535,51.591133,0.10708,51.587498,0.10533647,51.552883,0.1282709,51.559456,,,true,0.11528871,51.567364,240,243,278,317,435,,N points,numeric,61.0,Colour,string,94;255;216,,,,,,,,,
242,Tottenham,-0.08337384,51.61466,-0.09222514,51.60534,-0.092063345,51.59956,-0.087900415,51.592426,-0.056619737,51.590736,-0.051583003,51.605183,-0.08337384,51.61466,true,-0.072847836,51.6007,169,174,322,340,367,372,N points,numeric,126.0,Colour,string,113;178;255,,,,,,,,,
243,Barking and Dagenham,0.1282709,51.559456,0.10533647,51.552883,0.10476037,51.552254,0.118388385,51.52586,0.13406295,51.546787,0.1323731,51.55738,0.1282709,51.559456,true,0.121446565,51.545876,151,183,240,241,278,587,N points,numeric,73.0,Colour,string,105;255;196,,,,,,,,,
244,Purfleet,0.2331492,51.475018,0.2427385,51.469124,0.25205326,51.47221,0.26450872,51.491047,0.24061821,51.494583,0.2331492,51.475018,,,true,0.24762648,51.485123,245,283,419,441,479,,N points,numeric,21.0,Colour,string,51;255;73,,,,,,,,,
245,Belhus,0.24061821,51.494583,0.26450872,51.491047,0.26609004,51.491913,0.26817137,51.496094,0.26628348,51.511402,0.25711474,51.518806,0.23196952,51.513866,true,0.25006798,51.50161,191,244,283,408,441,466,N points,numeric,45.0,Colour,string,49;255;90,0.24061821,51.494583,515,,,,,,
246,Oakwood,-0.1431853,51.644337,-0.14053449,51.63718,-0.13318199,51.638134,-0.1222102,51.651817,-0.12152704,51.65593,-0.12191755,51.656883,-0.12829232,51.656017,true,-0.13447687,51.645287,215,323,339,451,468,548,N points,numeric,16.0,Colour,string,60;109;255,-0.1431853,51.644337,569,,,,,,
247,North Acton,-0.26153636,51.506817,-0.25298348,51.508495,-0.24401788,51.52734,-0.2449367,51.530296,-0.27176526,51.538277,-0.2720086,51.53814,-0.27801123,51.520164,true,-0.26085663,51.521965,178,181,239,335,385,426,N points,numeric,57.0,Colour,string,227;139;255,-0.26153636,51.506817,573,,,,,,
248,Kingsmeadow,-0.2893897,51.42532,-0.27049497,51.424267,-0.26126057,51.415546,-0.274661,51.389786,-0.28476542,51.39326,-0.29109442,51.415993,-0.2893897,51.42532,true,-0.27927953,51.408268,108,149,200,226,356,575,N points,numeric,62.0,Colour,string,255;101;132,,,,,,,,,
249,Peckham,-0.05639916,51.47774,-0.05350911,51.461205,-0.062274978,51.45301,-0.08476089,51.463535,-0.081364036,51.476753,-0.06422662,51.48416,-0.05639916,51.47774,true,-0.070913166,51.468746,161,163,179,221,235,578,N points,numeric,162.0,Colour,string,253;255;217,,,,,,,,,
250,Hounslow West,-0.38243017,51.466667,-0.37728727,51.480553,-0.39862853,51.50226,-0.4146972,51.49218,-0.41584665,51.48788,-0.40731707,51.466606,-0.3932686,51.460396,true,-0.39579475,51.48071,289,330,342,355,374,386,N points,numeric,82.0,Colour,string,255;69;223,-0.38243017,51.466667,414,,,,,,
251,Putney,-0.20311472,51.469337,-0.20067054,51.46569,-0.20847996,51.44697,-0.22595291,51.448143,-0.2298135,51.46351,-0.2246552,51.469593,-0.20311472,51.469337,true,-0.21530387,51.461494,127,140,147,210,572,576,N points,numeric,103.0,Colour,string,255;165;209,,,,,,,,,
252,Waltham Abbey,0.020240169,51.72134,0.014090043,51.673004,-0.0062975143,51.67862,-0.015421135,51.691315,-0.018053984,51.72282,-0.006077938,51.730595,0.020240169,51.72134,true,0.0046545155,51.68627,273,350,471,603,664,665,N points,numeric,40.0,Colour,string,8;157;255,,,,,,,,,
253,Belvedere,0.14558417,51.465134,0.16178258,51.491814,0.15432733,51.501896,0.13790019,51.4947,0.12896793,51.482464,0.13509808,51.4695,0.14336556,51.46479,true,0.14456998,51.481575,267,270,288,346,368,444,N points,numeric,53.0,Colour,string,109;255;119,0.14558417,51.465134,605,,,,,,
254,Epsom,-0.27294227,51.31328,-0.29200855,51.334454,-0.29011953,51.344643,-0.26867017,51.352848,-0.2614362,51.34773,-0.25649634,51.33275,-0.27294227,51.31328,true,-0.27087036,51.33683,316,436,439,473,480,594,N points,numeric,80.0,Colour,string,255;64;40,,,,,,,,,
255,University of Greenwich - Avery Hill,0.06999525,51.44885,0.07237488,51.45656,0.07437694,51.459137,0.10433903,51.444534,0.0882622,51.42571,0.06999525,51.44885,,,true,0.0884526,51.442387,271,291,309,371,464,,N points,numeric,60.0,Colour,string,171;255;129,,,,,,,,,
256,Epsom and St Helier NHS Trust,-0.17132749,51.39402,-0.16429548,51.373886,-0.17854366,51.365673,-0.1883512,51.38042,-0.18675113,51.387913,-0.17132749,51.39402,,,true,-0.17378744,51.378765,184,197,237,287,349,,N points,numeric,71.0,Colour,string,255;148;108,,,,,,,,,
257,Mottingham Railway Station,0.03519551,51.416233,0.035889007,51.415398,0.044310335,51.411465,0.058877982,51.414143,0.061522286,51.44163,0.036972247,51.44405,0.032950483,51.43848,true,0.048907995,51.431618,155,294,304,309,338,371,N points,numeric,56.0,Colour,string,202;255;140,0.03519551,51.416233,452,,,,,,
258,Tulse Hill Railway Station,-0.11867995,51.44988,-0.097205885,51.453938,-0.09328359,51.441177,-0.1110544,51.42386,-0.12250238,51.435062,-0.11867995,51.44988,,,true,-0.10907752,51.440594,130,194,208,578,579,,N points,numeric,79.0,Colour,string,255;216;186,,,,,,,,,
259,Romford,0.19019192,51.56822,0.16967313,51.56847,0.1782947,51.588524,0.19019192,51.56822,,,,,,,true,0.1810166,51.57515,141,167,303,,,,N points,numeric,53.0,Colour,string,59;255;191,,,,,,,,,
260,South Hampstead,-0.17103201,51.540726,-0.17391889,51.550026,-0.19009605,51.561577,-0.19486798,51.55869,-0.19303824,51.535122,-0.17103201,51.540726,,,true,-0.18531035,51.545704,153,154,268,422,571,,N points,numeric,95.0,Colour,string,184;158;255,,,,,,,,,
261,Thornton Heath,-0.098903924,51.38897,-0.08802395,51.38935,-0.07600353,51.405067,-0.08358009,51.415768,-0.10809518,51.411896,-0.10254356,51.39119,-0.098903924,51.38897,true,-0.090784565,51.403305,168,187,195,217,290,579,N points,numeric,76.0,Colour,string,255;213;145,,,,,,,,,
262,Colindale,-0.2571884,51.610153,-0.24212115,51.606133,-0.24974436,51.579407,-0.27062312,51.5883,-0.2687652,51.601982,-0.2571884,51.610153,,,true,-0.25408277,51.59746,131,334,383,391,592,,N points,numeric,62.0,Colour,string,125;87;255,,,,,,,,,
