id,Name,Resident-Visitors-Total,Resident-Visits-Total,Resident-Visits-Per-Visitor,Resident-Visitors-Percent,Resident-Visits-Percent,Resident-Visits-Per-Visitor-Percent,Tourist-Visitors-Total,Tourist-Visits-Total,Tourist-Visits-Per-Visitor,Tourist-Visitors-Percent,Tourist-Visits-Percent,Tourist-Visits-Per-Visitor-Percent,Net-Visitors-Percent,Net-Visits-Percent,Net-Visits-Per-Visitor-Percent,Difference
49,49,4498,5844,1.299244108,0.00165118,0.001489486,0.001442012,9495,10950,1.153238547,0.004170675,0.004313901,0.001698822,-0.002519495,-0.002824414,-0.00025681,0.304037156
50,50,6110,7910,1.294599018,0.002242933,0.002016057,0.001436857,8103,9546,1.178082192,0.003559239,0.003760776,0.001735419,-0.001316307,-0.001744719,-0.000298562,0.093721357
51,51,227,275,1.211453744,8.33E-05,7.01E-05,0.001344575,259,267,1.030888031,0.000113766,0.000105188,0.001518589,-3.04E-05,-3.51E-05,-0.000174014,-0.014760148
52,52,3245,4440,1.36825886,0.001191214,0.001131643,0.001518611,3518,3893,1.106594656,0.00154528,0.0015337,0.001630112,-0.000354066,-0.000402057,-0.000111501,-0.065642626
53,53,11692,14809,1.266592542,0.004292041,0.003774436,0.001405773,8964,9720,1.084337349,0.003937433,0.003829326,0.001597325,0.000354608,-5.49E-05,-0.000191552,-0.207468711
54,54,7973,10044,1.259751662,0.002926825,0.002559959,0.00139818,13748,16123,1.1727524,0.006038803,0.006351874,0.001727568,-0.003111978,-0.003791915,-0.000329388,0.232315512
55,55,10482,13247,1.263785537,0.003847859,0.003376322,0.001402657,14907,15756,1.056953109,0.006547894,0.006207289,0.001556985,-0.002700034,-0.002830967,-0.000154328,0.086508292
56,56,2108,2610,1.238140417,0.00077383,0.000665222,0.001374194,1498,1609,1.074098798,0.000657996,0.000633887,0.001582242,0.000115834,3.13E-05,-0.000208048,-0.237260014
57,57,344,628,1.825581395,0.00012628,0.000160061,0.002026186,160,177,1.10625,7.03E-05,6.97E-05,0.001629604,5.60E-05,9.03E-05,0.000396583,-0.560248447
58,58,1371,1655,1.207148067,0.000503283,0.000421817,0.001339796,3874,4002,1.033040785,0.001701653,0.001576642,0.00152176,-0.00119837,-0.001154825,-0.000181964,0.414884214
59,59,8334,10718,1.286057115,0.003059346,0.002731745,0.001427376,5996,6478,1.080386925,0.002633741,0.002552096,0.001591505,0.000425605,0.000179649,-0.000164129,-0.24656897
60,60,6499,8864,1.363902139,0.002385732,0.002259207,0.001513775,6285,7393,1.176292761,0.002760684,0.002912572,0.001732783,-0.000374952,-0.000653365,-0.000219008,-0.090484099
61,61,8266,10212,1.235422211,0.003034383,0.002602778,0.001371177,6263,6866,1.096279738,0.00275102,0.002704954,0.001614917,0.000283363,-0.000102175,-0.000243739,-0.195924581
62,62,12035,15448,1.283589531,0.004417953,0.003937301,0.001424638,9759,10869,1.113741162,0.004286637,0.00428199,0.001640639,0.000131317,-0.000344689,-0.000216001,-0.173993996
