id_left,1,1.5,2,2.5,3,3.5,4,4.5,5,1_%,1.5_%,2_%,2.5_%,3_%,3.5_%,4_%,4.5_%,5_%,low,mid,high,average_rating
30,0,0,0,1,4,10,5,8,5,0,0,0,0.03030303,0.121212121,0.303030303,0.151515152,0.242424242,0.151515152,0,0.454545454,0.545454546,3.954545455
31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
32,1,0,0,0,6,5,4,10,0,0.038461538,0,0,0,0.230769231,0.192307692,0.153846154,0.384615385,0,0.038461538,0.423076923,0.538461539,3.75
33,2,1,4,7,10,33,53,38,13,0.01242236,0.00621118,0.02484472,0.043478261,0.062111801,0.204968944,0.329192547,0.236024845,0.080745342,0.04347826,0.310559006,0.645962734,3.866459627
34,0,0,0,5,28,63,66,38,11,0,0,0,0.023696682,0.132701422,0.298578199,0.312796209,0.180094787,0.052132701,0,0.454976303,0.545023697,3.82464455
35,0,0,0,2,5,2,7,9,1,0,0,0,0.076923077,0.192307692,0.076923077,0.269230769,0.346153846,0.038461538,0,0.346153846,0.653846153,3.865384615
36,0,0,0,0,10,7,4,1,2,0,0,0,0,0.416666667,0.291666667,0.166666667,0.041666667,0.083333333,0,0.708333334,0.291666667,3.541666667
37,6,0,0,10,21,26,38,35,16,0.039473684,0,0,0.065789474,0.138157895,0.171052632,0.25,0.230263158,0.105263158,0.039473684,0.375000001,0.585526316,3.779605263
38,3,0,1,2,3,4,4,3,0,0.15,0,0.05,0.1,0.15,0.2,0.2,0.15,0,0.2,0.45,0.35,3.125
39,0,0,0,0,2,6,2,3,0,0,0,0,0,0.153846154,0.461538462,0.153846154,0.230769231,0,0,0.615384616,0.384615385,3.730769231
40,7,2,4,10,38,45,88,46,13,0.027667984,0.007905138,0.015810277,0.039525692,0.150197628,0.177865613,0.347826087,0.181818182,0.051383399,0.051383399,0.367588933,0.581027668,3.709486166
41,0,0,2,2,12,9,12,6,1,0,0,0.045454545,0.045454545,0.272727273,0.204545455,0.272727273,0.136363636,0.022727273,0.045454545,0.522727273,0.431818182,3.556818182
42,2,0,0,1,4,11,6,7,1,0.0625,0,0,0.03125,0.125,0.34375,0.1875,0.21875,0.03125,0.0625,0.5,0.4375,3.609375
43,0,0,0,3,5,22,29,13,2,0,0,0,0.040540541,0.067567568,0.297297297,0.391891892,0.175675676,0.027027027,0,0.405405406,0.594594595,3.837837838
44,1,0,1,2,11,19,32,16,6,0.011363636,0,0.011363636,0.022727273,0.125,0.215909091,0.363636364,0.181818182,0.068181818,0.022727272,0.363636364,0.613636364,3.835227273
45,1,4,2,1,11,7,24,16,8,0.013513514,0.054054054,0.027027027,0.013513514,0.148648649,0.094594595,0.324324324,0.216216216,0.108108108,0.094594595,0.256756758,0.648648648,3.77027027
46,0,0,0,1,11,24,13,18,2,0,0,0,0.014492754,0.15942029,0.347826087,0.188405797,0.260869565,0.028985507,0,0.521739131,0.478260869,3.804347826
