,category,coordinates,id,lat,lng,name,price_level,rating,review_count
58,active,POINT (-0.1308444 51.5200689),5xzjxVzG_M3F69nfMe4FNQ,51.5200689,-0.1308444,Cloud 9 Cycles,3,5.0,1
59,active,POINT (-0.13724 51.517469),blMqQW76JjZ-NSs8YE3dNA,51.517469,-0.13724,Agua At Sanderson,3,5.0,1
60,active,POINT (-0.1622325 51.354699),Ayzc9Hx6syRYvZ5paGGywA,51.354699,-0.1622325,"Juniors Plus, Hairdressers",4,3.5,3
61,active,POINT (-0.198323 51.450979),SoVjqN1rnULwSVGoN7xXFw,51.450979,-0.198323,Vitality Centre,4,2.5,2
62,active,POINT (-0.159017 51.50248),m2OdEVTBfso2I0AnCEKSiA,51.50248,-0.159017,Royal Thames Yacht Club,4,5.0,1
63,arts,POINT (-0.12758 51.50954),uNBw-V4ZYn-cXt4fc9Jw9Q,51.50954,-0.12758,National Portrait Gallery,1,4.5,188
64,arts,POINT (-0.126866769172693 51.4907293031787),wDeBnvcwVI5rrMnKt-ATSA,51.4907293031787,-0.126866769172693,Tate Britain,1,4.5,127
65,arts,POINT (-0.09682952781520759 51.5176485154852),MIhWaS_eQbsS9AId-C419w,51.5176485154852,-0.0968295278152076,Museum Of London,1,4.0,114
66,arts,POINT (-0.153022552114862 51.5174316756205),hF7L2L1pcPqNrE0js9xMDw,51.5174316756205,-0.153022552114862,The Wallace Collection,1,4.5,104
67,arts,POINT (-0.158737 51.490707),V0IimLA1NLpbitl7SiOskA,51.490707,-0.158737,Saatchi Gallery,1,4.5,99
68,arts,POINT (-0.139058 51.514935),Q0qaACk-ySyeqjFzdK94dg,51.514935,-0.139058,The Photographers' Gallery,1,4.5,47
69,arts,POINT (-0.125438216602333 51.5176490927972),BDIpKgowzdAd3qqjSjOoOQ,51.5176490927972,-0.125438216602333,Camera Museum,1,4.0,44
70,arts,POINT (-0.175034 51.504749),VL8v-jEvXXpPH7iZ8-lA6A,51.504749,-0.175034,Serpentine Galleries,1,4.0,44
71,arts,POINT (-0.126756 51.508793),Ps63PCEsGOvHmSZjqijR5g,51.508793,-0.126756,St Martin in the Fields,1,4.5,44
72,arts,POINT (-0.13033772564174 51.514867642482),KibX1drMsr4bmfFYj5BkMw,51.514867642482,-0.13033772564174,The Crobar,1,4.0,41
73,arts,POINT (-0.0918525573030515 51.5070433706857),0PFHwv7drk8VCARhecpX0A,51.5070433706857,-0.0918525573030515,Clink Prison Museum,1,3.0,38
74,arts,POINT (-0.117566460750618 51.5115565765913),942OQcUtfIjYE_XakkgdNA,51.5115565765913,-0.117566460750618,The Courtauld Gallery,1,4.5,34
75,arts,POINT (-0.07007284597038969 51.5160847710173),_bAZZTyvZTC1vTdfZlXGWA,51.5160847710173,-0.0700728459703897,Whitechapel Gallery,1,3.5,27
76,arts,POINT (-0.177454 51.548845),5Ide-FVDXeXQ8cT4OXrxKA,51.548845,-0.177454,The Freud Museum,1,4.0,26
77,arts,POINT (-0.0859307250688582 51.4463139325697),6fOrTxGXuOCWklyNaaGrUQ,51.4463139325697,-0.0859307250688582,Dulwich Picture Gallery,1,4.0,25
78,arts,POINT (-0.08864030000000001 51.5050713),PBfLMXN2M0Nn0yorCcOnqg,51.5050713,-0.0886403,The Old Operating Theatre,1,4.5,21
79,arts,POINT (-0.053114 51.514333),AuRbCdbDEetUNlF6mIJpng,51.514333,-0.053114,The George Tavern,1,4.0,19
80,arts,POINT (-0.007975100000000001 51.4790404),AVPhzb0mKoiLmC45HWHl-A,51.4790404,-0.0079751,The Fan Museum Trust,1,4.5,18
81,arts,POINT (-0.0797796249389648 51.5051364249445),blPVfo35hRTG-0YSwmw9uw,51.5051364249445,-0.0797796249389648,The Scoop at More London,1,4.5,18
82,arts,POINT (-0.008341537773016459 51.5840633321221),TJdjTGB0ub9mBnnAY9SpiA,51.5840633321221,-0.00834153777301646,Gods Own Junk Yard,1,4.5,16
83,arts,POINT (-0.12518990987109 51.507801677738),yMdbYof6WRVJFxOisxUdoA,51.507801677738,-0.12518990987109,Benjamin Franklin House,1,3.5,15
84,arts,POINT (-0.0877742274352333 51.5140257143516),aDM7ofXY4EfM8WvV7FVqkg,51.5140257143516,-0.0877742274352333,Bank Of England Museum,1,4.0,12
85,arts,POINT (-0.09636402128972101 51.571962074149),z8ywlh1CGUeQVuhDDowsxA,51.571962074149,-0.096364021289721,The Finsbury,1,4.0,12
86,arts,POINT (-0.121645615008902 51.5252097167853),yckLgWUnrr2AdkDCfz4PKA,51.5252097167853,-0.121645615008902,The Foundling Museum,1,4.0,12
87,arts,POINT (-0.16007 51.486013),48-U9KkcT09vEYpeD2CLRA,51.486013,-0.16007,National Army Museum,1,4.5,12
88,arts,POINT (-0.1460565 51.5130575),lw9lEkGy_yvjQQoqWKB2AA,51.5130575,-0.1460565,Handel & Hendrix in London,1,4.5,12
89,arts,POINT (-0.136642456054688 51.5642660244139),4oCsLusUzKXYwDJhMuOItQ,51.5642660244139,-0.136642456054688,The Hideaway,1,3.5,11
90,arts,POINT (-0.0716229 51.5244724),NLABAUxiiVqkqLIOmkdneA,51.5244724,-0.0716229,The Brick Lane Gallery,1,2.0,11
91,arts,POINT (-0.113720720506352 51.4616655419757),mfX3NkNRyhyB7W9F7uKAVA,51.4616655419757,-0.113720720506352,The Prince Albert,1,3.5,11
92,arts,POINT (-0.183591842651367 51.5510586247943),1ykMbCK-N53D3jfjvCFlSA,51.5510586247943,-0.183591842651367,Camden Arts Centre,1,4.5,10
93,arts,POINT (-0.09492100000000001 51.530278),XvV13V0vHowMUe4WaE1I2Q,51.530278,-0.094921,Victoria Miro Gallery,1,4.5,10
94,arts,POINT (-0.1444712 51.5371325),1IfmFp49yxfCQwVEyymIyg,51.5371325,-0.1444712,Jewish Museum London,1,4.0,10
