,idlat,lng,coordinates,name,rating,review_count,price_level,category
78,,-0.0886403,POINT (-0.08864030000000001 51.5050713),The Old Operating Theatre,4.5,21,1,arts
79,,-0.053114,POINT (-0.053114 51.514333),The George Tavern,4.0,19,1,arts
80,,-0.0079751,POINT (-0.007975100000000001 51.4790404),The Fan Museum Trust,4.5,18,1,arts
81,,-0.0797796249389648,POINT (-0.0797796249389648 51.5051364249445),The Scoop at More London,4.5,18,1,arts
82,,-0.00834153777301646,POINT (-0.008341537773016459 51.5840633321221),Gods Own Junk Yard,4.5,16,1,arts
83,,-0.12518990987109,POINT (-0.12518990987109 51.507801677738),Benjamin Franklin House,3.5,15,1,arts
84,,-0.0877742274352333,POINT (-0.0877742274352333 51.5140257143516),Bank Of England Museum,4.0,12,1,arts
85,,-0.096364021289721,POINT (-0.09636402128972101 51.571962074149),The Finsbury,4.0,12,1,arts
86,,-0.121645615008902,POINT (-0.121645615008902 51.5252097167853),The Foundling Museum,4.0,12,1,arts
87,,-0.16007,POINT (-0.16007 51.486013),National Army Museum,4.5,12,1,arts
88,,-0.1460565,POINT (-0.1460565 51.5130575),Handel & Hendrix in London,4.5,12,1,arts
89,,-0.136642456054688,POINT (-0.136642456054688 51.5642660244139),The Hideaway,3.5,11,1,arts
90,,-0.0716229,POINT (-0.0716229 51.5244724),The Brick Lane Gallery,2.0,11,1,arts
91,,-0.113720720506352,POINT (-0.113720720506352 51.4616655419757),The Prince Albert,3.5,11,1,arts
92,,-0.183591842651367,POINT (-0.183591842651367 51.5510586247943),Camden Arts Centre,4.5,10,1,arts
93,,-0.094921,POINT (-0.09492100000000001 51.530278),Victoria Miro Gallery,4.5,10,1,arts
94,,-0.1444712,POINT (-0.1444712 51.5371325),Jewish Museum London,4.0,10,1,arts
95,,-0.138446,POINT (-0.138446 51.557143),Boston Arms,3.0,10,1,arts
96,,-0.080131,POINT (-0.08013099999999999 51.527616),Troy Bar & Restaurant,4.0,9,1,arts
97,,-0.05674,POINT (-0.05674 51.52968),Resistance Gallery,4.5,9,1,arts
98,,0.000904502362313964,POINT (0.000904502362313964 51.5114023741095),West 12 Shopping Centre,3.0,9,1,arts
99,,-0.0921868670680626,POINT (-0.0921868670680626 51.5157564364027),Guildhall Art Gallery,4.5,9,1,arts
100,,-0.120335,POINT (-0.120335 51.534231),London Canal Museum,4.5,8,1,arts
101,,-0.168133,POINT (-0.168133 51.5210862),Lisson Gallery,4.0,8,1,arts
102,,-0.075875,POINT (-0.075875 51.543285),Power Lunches Arts Cafe,3.5,8,1,arts
103,,-0.26771812200931,POINT (-0.26771812200931 51.492862405716),Connolly's Chiswick,3.5,7,1,arts
104,,-0.020380074856059,POINT (-0.020380074856059 51.5908999416466),William Morris Gallery,4.0,7,1,arts
105,,-0.1326435,POINT (-0.1326435 51.5207403),RADA Studios,4.5,6,1,arts
106,,-0.1004488,POINT (-0.1004488 51.5438937),Estorick Collection,4.5,6,1,arts
107,,-0.153301,POINT (-0.153301 51.546202),The Zabludowicz Collection,4.5,6,1,arts
108,,-0.068554,POINT (-0.068554 51.468194),Small White Elephant,4.5,5,1,arts
109,,-0.138404,POINT (-0.138404 51.526399),Camden Peoples Theatre,4.5,5,1,arts
110,,-0.0428515,POINT (-0.0428515 51.523859),Drapers Bar and Kitchen,3.0,5,1,arts
111,,-0.094921,POINT (-0.09492100000000001 51.530278),Parasol Unit,4.0,5,1,arts
